title,url
Road Accidents in India 2022,https://www.data.gov.in/catalog/road-accidents-india-2022-0
,https://www.data.gov.in/catalog/road-accidents-india-2022-0
Details of schemes under Karnataka Labour Welfare Board for the Year 2025-26,https://www.data.gov.in/catalog/details-schemes-under-karnataka-labour-welfare-board-year-2025-26
,https://www.data.gov.in/catalog/details-schemes-under-karnataka-labour-welfare-board-year-2025-26
Road Accidents in India 2023,https://www.data.gov.in/catalog/road-accidents-india-2023
,https://www.data.gov.in/catalog/road-accidents-india-2023
First census of Springs,https://www.data.gov.in/catalog/first-census-springs
,https://www.data.gov.in/catalog/first-census-springs
First Census of Major and Medium Irrigation (MMI) Projects,https://www.data.gov.in/catalog/first-census-major-and-medium-irrigation-mmi-projects
,https://www.data.gov.in/catalog/first-census-major-and-medium-irrigation-mmi-projects
Water Consumption Data-2026,https://www.data.gov.in/catalog/water-consumption-data-2026
,https://www.data.gov.in/catalog/water-consumption-data-2026
"7th Minor Irrigation Census - Village Schedule, Ground Water Schemes, Surface Water Schemes",https://www.data.gov.in/catalog/7th-minor-irrigation-census-village-schedule-ground-water-schemes-surface-water-schemes
,https://www.data.gov.in/catalog/7th-minor-irrigation-census-village-schedule-ground-water-schemes-surface-water-schemes
Second Census of Water Bodies,https://www.data.gov.in/catalog/second-census-water-bodies
,https://www.data.gov.in/catalog/second-census-water-bodies
